pos,neg,p_count,n_count
positive,negative,1,0
positive,negative,1,0
positive,negative,1,0
positive,negative,1,0
positive,negative,1,0
positive,negative,2,0
positive,negative,2,0
positive,negative,2,0
positive,negative,2,0
positive,negative,2,0
positive,negative,2,1
positive,negative,3,1
positive,negative,3,1
positive,negative,3,1
positive,negative,4,1
positive,negative,4,1
positive,negative,4,1
positive,negative,4,1
positive,negative,4,1
positive,negative,5,1
positive,negative,5,1
positive,negative,5,1
positive,negative,5,1
positive,negative,5,1
positive,negative,5,2
positive,negative,6,2
positive,negative,6,2
positive,negative,6,2
positive,negative,7,2
positive,negative,7,2
positive,negative,7,2
positive,negative,7,2
positive,negative,7,2
positive,negative,8,2
positive,negative,8,2
positive,negative,8,2
positive,negative,8,2
positive,negative,8,2
positive,negative,8,3
positive,negative,9,3
positive,negative,9,3
positive,negative,9,3
positive,negative,10,3
positive,negative,10,3
positive,negative,10,3
positive,negative,10,3
positive,negative,10,3
positive,negative,11,3
positive,negative,11,3
positive,negative,11,3
positive,negative,11,3
positive,negative,11,3
positive,negative,11,4
positive,negative,12,4
positive,negative,12,4
positive,negative,12,4
positive,negative,13,4
positive,negative,13,4
positive,negative,13,4
positive,negative,13,4
positive,negative,13,4
positive,negative,14,4
positive,negative,14,4
positive,negative,14,4
positive,negative,14,4
positive,negative,14,4
positive,negative,14,5
positive,negative,15,5
positive,negative,15,5
positive,negative,15,5
positive,negative,16,5
positive,negative,16,5
positive,negative,16,5
positive,negative,16,5
positive,negative,16,5
positive,negative,17,5
positive,negative,17,5
positive,negative,17,5
positive,negative,17,5
positive,negative,17,5
positive,negative,17,6
positive,negative,18,6
positive,negative,18,6
positive,negative,18,6
positive,negative,19,6
positive,negative,19,6
positive,negative,19,6
positive,negative,19,6
positive,negative,19,6
positive,negative,20,6
positive,negative,20,6
positive,negative,20,6
positive,negative,20,6
positive,negative,20,6
positive,negative,20,7
positive,negative,21,7
positive,negative,21,7
positive,negative,21,7
positive,negative,22,7
positive,negative,22,7
positive,negative,22,7
positive,negative,22,7
positive,negative,22,7
positive,negative,23,7
positive,negative,23,7
positive,negative,23,7
positive,negative,23,7
positive,negative,23,7
positive,negative,23,8
positive,negative,24,8
positive,negative,24,8
positive,negative,24,8
positive,negative,25,8
positive,negative,25,8
positive,negative,25,8
positive,negative,25,8
positive,negative,25,8
positive,negative,26,8
positive,negative,26,8
positive,negative,26,8
positive,negative,26,8
positive,negative,26,8
positive,negative,26,9
positive,negative,27,9
positive,negative,27,9
positive,negative,27,9
positive,negative,28,9
positive,negative,28,9
positive,negative,28,9
positive,negative,28,9
positive,negative,28,9
positive,negative,29,9
positive,negative,29,9
positive,negative,29,9
positive,negative,29,9
positive,negative,29,9
positive,negative,29,10
positive,negative,30,10
positive,negative,30,10
positive,negative,30,10
positive,negative,31,10
positive,negative,31,10
positive,negative,31,10
positive,negative,31,10
positive,negative,31,10
positive,negative,32,10
positive,negative,32,10
positive,negative,32,10
positive,negative,32,10
positive,negative,32,10
positive,negative,32,11
positive,negative,33,11
positive,negative,33,11
positive,negative,33,11
positive,negative,34,11
positive,negative,34,11
positive,negative,34,11
positive,negative,34,11
positive,negative,34,11
positive,negative,35,11
positive,negative,35,11
positive,negative,35,11
positive,negative,35,11
positive,negative,35,11
positive,negative,35,12
positive,negative,36,12
positive,negative,36,12
positive,negative,36,12
